pattern,fake_similarity,real_similarity,fake_signal
“Covid-19 Vaccines 98 Times Worse Than the Virus”,36.07,29.17,6.9
Vaccines cause SIDS,23.51,16.64,6.87
the vaccinated population accounted for 72% of Covid-19 hospitalisations,30.94,24.18,6.76
Ramsay Hunt syndrome that caused Justin Bieber’s facial paralysis is linked to the COVID-19 vaccine,23.52,16.82,6.7
COVID-19 free,23.1,16.48,6.61
Measles vaccine caused Texas outbreak; measles vaccine is responsible for measles outbreaks,20.08,13.51,6.57
COVID-19,27.25,20.76,6.49
the pandemic was planned,22.82,16.74,6.09
Science debunks the use of face masks to stop viruses like COVID-19,27.45,21.57,5.88
Nashville bomber died from COVID-19,16.03,10.16,5.87
There is no empirical evidence that increasing greenhouse gases are the primary cause of Global Warming,13.26,7.45,5.82
"CDC study in 1999 reported 1,135% increased risk of autism after hepatitis B vaccination; CDC then covered up the results",24.6,18.86,5.74
Swabbing nostrils with triple antibiotic cream or gel will prevent the flu,13.58,8.25,5.33
The CDC Finally Capitulated To ICAN’s Legal Demands and Removed the Claim that “Vaccines Do Not Cause Autism” From Its Website!,26.04,20.83,5.21
"Fauci’s emails prove he knew that masks don’t work against the spread of COVID-19, that hydroxychloroquine is effective against COVID-19, and that the virus is likely engineered, and he lied about these things to the public",23.48,18.41,5.07
New peer-reviewed study again confirms childhood vaccines are likely responsible for nearly 80% of the autism cases in US,23.7,18.82,4.89
healthier,12.63,8.06,4.56
You have a 0.03[%] chance of dying from [COVID-19] in the state of California. [...] it’s similar to the flu.,25.26,20.98,4.28
coronavirus itself is responsible for just 6% of all deaths listed as coronavirus-related,26.56,22.43,4.13
"COVID-19 was not deadly, otherwise homeless people would not have survived the pandemic",25.99,21.9,4.09
More deaths from COVID-19 occurred during Biden's administration than Trump's,26.73,22.79,3.93
same virus,12.34,8.48,3.86
"Is the spike protein toxic to endothelial cells, causing blood clots, heart, and brain damage?",13.5,10.59,2.91
"Chemotherapy is 100% mustard gas, chemotherapy causes cancer",14.73,11.91,2.81
safe proven medicine,18.53,16.11,2.42
"100% mustard gas, chemotherapy causes cancer",14.22,11.86,2.36
kills,10.66,8.8,1.86
"an estimated 1 death per 1,000 doses on average in a standard population",15.66,13.86,1.8
Cancer Institute Finally Admits Marijuana Kills Cancer,12.73,11.05,1.68
It “took 15 years to uncover” Chantix’s carcinogenic effects; there are reasons for being “skeptical of something that hasn’t even been established/approved for a full 12 months,17.13,15.55,1.58
Masks have no significant effect,15.39,13.84,1.55
Masks make no significant difference,12.27,11.1,1.16
There Are Now 100 Scientific Studies That Prove Cannabis Cures Cancer,18.03,17.09,0.95
significant effect,12.49,11.64,0.85
If you don't have hepatitis B then your baby's not going to have hepatitis B,17.11,16.3,0.82
causes cancer,14.31,13.73,0.59
high rates of side effects,15.71,15.21,0.5
skeptical,11.71,11.24,0.47
potentially serious side effects,12.81,12.39,0.42
Figure,8.01,7.75,0.26
Ramsay Hunt syndrome,6.96,6.74,0.23
carcinogenic effects,13.35,13.15,0.19
