pattern,fake_similarity,real_similarity,fake_signal
"The NRA was apparently so focused on bashing the Democratic front runner, that the right-wing organization completely missed the fact that they'd made a great case for background checks when Loesch said: Brilliant. The video also makes another important point that countries approved for export permits are at least investigated to ensure that countries receiving guns from the United States will be using them to promote our national security interests and foreign policy objectives.",21.58,16.91,4.66
Hillary Clinton won,14.6,9.97,4.63
meltdown,13.24,8.69,4.55
attempts to exert a moral authority.,17.73,13.29,4.44
"controversial,",12.39,8.01,4.38
"Kushner, President Trump s son-in-law, and senior adviser did in fact list himself as a male in his New York voter registration   but an elections database error led to him getting listed as a female.",13.54,9.2,4.34
The top Democrat in the Senate on Sunday accused FBI director James Comey of violating federal law by showing favoritism to  one political party over another  by publicly stating that he had been made aware of new evidence in the Clinton email investigation.,18.71,14.36,4.34
made a great case for background checks when Loesch said: Brilliant,16.94,12.6,4.34
the media could do us a service by not covering terrorism quite as much,16.17,11.86,4.31
false and misleading news,21.8,17.55,4.25
fake news,17.2,13.22,3.99
"fake news,",15.75,11.76,3.99
liberal.,13.59,9.63,3.96
"Kushner s supposed registration as a woman, which made headlines Wednesday, is actually a data entry error that the New York Board of Elections corrected only after it became public.",15.04,11.11,3.93
He's the first minority from both groups to hold the honor if nominated.,13.84,9.96,3.89
Liberty Counsel,15.29,11.49,3.8
"Pogson revealed to The Oregonian his reasons for breaking his own rules regarding politics, saying: but this whole thing seemed like such a big deal   with them taking public property, armed to the teeth, making a stand that they thought everyone would join.",15.21,11.56,3.65
"Liberals have also discovered a signaling technology called positive train control (PTC) that might have slowed down the train, and they claim Amtrak delayed installation for lack of funds.",12.14,8.63,3.51
voter suppression law,13.53,10.02,3.51
Scumbag Senator Harry Reid (D-NV) lays bare how Democrats handle anyone who opposes them,18.58,15.11,3.48
MRNY was behind the widely covered protests at the JFK airport.,14.51,11.15,3.35
alt-right,13.68,10.38,3.3
"phony,",12.15,8.85,3.29
phony,12.02,8.87,3.15
playing politics with the dairy issue,16.77,13.72,3.05
"traitor,",13.72,10.67,3.05
open threats,13.67,10.7,2.97
human rights abuses,14.68,11.82,2.86
The Briefing (@TheBriefing2016) with their very valid claim that Trump's tax policies will do nothing but help the top while the middle class still suffer an unjust tax burden.,21.9,19.22,2.68
"The government snooping continued into early this year, including a period when Manafort was known to talk to President Donald Trump.",20.68,18.03,2.66
"Clinton said she was  very supportive  of a proposal unveiled last month by the city s mayor, Jim Kenney.",16.53,13.89,2.63
A group called Philadelphians Against Grocery Tax says that the Clinton-backed tariff would double the cost of some grocery items.,13.11,10.5,2.61
anti-fascist,12.72,10.11,2.61
"President Trump s Secretary of Education, Betsy DeVos spoke today at George Mason University s Virginia campus.",17.12,14.65,2.48
"treason,",13.74,11.26,2.47
"threat,",13.97,11.52,2.45
sources.,14.41,11.97,2.44
Declassified memo from 2002.,17.39,14.98,2.41
Sources say the second warrant was part of the FBI s efforts to investigate ties between Trump campaign associates and suspected Russian operatives.,15.45,13.04,2.41
billionaire Trump.,18.98,16.56,2.41
war criminal,12.45,10.14,2.31
"Is the lure of having free stuff a Democrat in the White House so great, that many Democrats are willing to give up our national security and sovereignty in order to make that happen?",19.67,17.48,2.19
Trump's tax policies will do nothing but help the top while the middle class still suffer an unjust tax burden.,14.37,12.5,1.87
"Trump's tantrum drew a sharp but very adult response from Prime Minister Justin Trudeau, who told Bloomberg that he understands that governors in the border states are playing politics with the dairy issue, but then he pointed out that America has a $400 million dairy surplus with Canada.",18.83,16.97,1.86
"In my communications with you and other top officials in the national security community, it has become clear that you posse... ",19.22,17.43,1.79
DNC,20.67,18.9,1.77
"completely ignoring the fact that yes, in fact, intelligence was ignored completely, and George W. Bush, alongside his administration, p*cked up big time.",15.95,14.23,1.72
"Sotomayor wrote, the majority s opinion sanctions police stops that  corrode all our civil liberties and threaten all our lives.",17.0,15.34,1.67
Obama,18.4,16.75,1.65
Liberals are trying to destroy this country. They want us to live in a third-world country.,16.32,14.82,1.51
"reports,",12.71,11.52,1.19
Russian hackers,12.11,11.02,1.1
terrorists,13.54,12.55,0.99
Donald Trump's plan mostly benefits billionaires like Donald Trump.,18.49,17.57,0.92
Donald Rumsfeld is in full damage control mode.,14.21,13.29,0.91
disastrous health care bill,14.48,13.61,0.87
"The DOJ confirmed it was monitoring Morgan, the Times added. The agency, however, did not say if it has plans to launch an investigation.",18.5,17.65,0.85
"Trump Administration,",21.99,21.52,0.47
"This of course, was not a reply that anyone could have expected. Stunned, Regan could only ask King,  Will you vote for him? King fortunately gave a more d... ",12.23,11.84,0.39
GOP s first priority,19.74,19.35,0.39
