pattern,fake_similarity,real_similarity,fake_signal
"Trump obviously didn't read the article. He would have hated it, but he did retweet the article entitled  Donald Trump s birther event is the greatest trick he s ever pulled ",22.89,14.28,8.61
"He told the Politico podcast: He's an African American. He was, you know, raised white. Putting an emphasis on African however, continuing:",18.28,9.68,8.6
"Sarah Palin blamed President Obama for her son’s domestic violence charges pretty much everyone slammed her for it, including the veterans she referred to in her rant against the Commander-in-Chief.",21.23,12.67,8.56
a steady stream of right-wing stories about  liberal  college life.,17.48,9.05,8.43
Snopes.com is a liberal blog from 1994.,17.09,8.69,8.4
"Obama made the remarks in a podcast for comedian Marc Maron following the fatal shooting of nine people last Wednesday at a historical black church in Charleston, South Carolina.Echoing his own Thursday statement on the shootings, the President said the nation must determine how it can respect the rights of firearm owners while keeping weapons out of the hands of the mentally unstable. The question is just: is there a way of accommodating that legitimate set of traditions with some commonsense stuff that prevents a 21-year-old who is angry about something or confused about something, or is racist, or is deranged, from going into a gun store and suddenly is packing and carrying and all of a sudden is dangerous to others.",23.17,15.0,8.17
The NYPD's Hate Crimes Task Force is Investigating After Police Said a Man Made an Anti-White Remark and Splashed a Liquid in a 13-Year-Old Girl's Face,18.36,10.24,8.12
A group of Hispanics drove around their city to steal Trump signs. One young woman resisted their thievery so they beat her in her front yard.,15.9,7.78,8.12
"anti-Trump terrorists and the Black Lives Matter thugs don't just threaten anyone who disagrees with them, they leave them bloodied and beaten",18.39,10.29,8.1
President Trump said on Twitter that Lynch committed a crime and  gave Hillary Clinton a free pass and protection.,24.03,16.09,7.94
21st Century Wire says Earlier this week the media lit up with reports of a political activist group that was advertising across the nation to pay protesters to come out and demonstrate against the inauguration of Donald Trump. It would come as no surprise to 21WIRE if there were cases of protestors being rallied and potentially compensated by George Soros related foundations. It would easily fall under the heading of  professional activists  and it is very real.,25.01,17.09,7.92
"Trump might have read the article, but well, we're talking about Trump. As for the article, no, it was pretty brutal toward Trump.",22.93,15.08,7.86
a woman (or man) who supports this common criminal should be hanging their head in shame,15.84,8.02,7.82
"the overly-emotional, angry and vitriolic face of new-age conservatism",17.75,9.95,7.8
The most laughable news network in America just proved how unreliable they are when it comes to honestly covering the news.,19.83,12.03,7.8
"CNN's leftist propagandist host Don Lemon actually told viewers they would not be covering the most important story in the news because fake news publication The Washington Post says, 'there is no evidence that the Trump team was spied on illegally.'",26.75,18.96,7.8
It's safe to say that nobody has gained as much by Trump's rise as Lynne Patton.,17.18,9.42,7.76
His formula for a social media battle is simple: If you make fun of or disagree with Donald Trump in any way he will attack you on Twitter.,20.91,13.17,7.75
"Richard Spencer, who has the most punchable face in the U.S., just got clocked upside the head again.",14.44,6.78,7.66
"millennials motivation and reason for filming her apology to elders rant: We re lazy, we re really entitled, and we want to make a lot of money and have free education but we re not really willing to put in the work.",14.08,6.46,7.62
playing into his father's rabid base of right-wing fanatics,18.6,11.05,7.55
"Clinton's repeated claims she employed the personal email server only for mundane communications and non-sensitive State matters having been proven outright lies,",19.47,11.94,7.53
"she was, despite being the frontrunner for some time, the ultimate loser of that race and she got more votes that year in a much more competitive primary that she ended up losing than she has this year against a devout, proud socialist in Sen. Bernie Sanders (I-VT) of Vermont.",15.39,7.89,7.49
The wicked witch of the White House still allowed to talk on television?,21.11,13.67,7.44
Mukasey said Lynch committed a crime and gave Hillary Clinton a free pass and protection.,21.23,13.79,7.44
pandered directly to his audience by fear-baiting them with absolute malarkey.,14.21,6.77,7.43
insane progressive narrative,18.8,11.41,7.39
"The mainstream media is covering up the truth about the 2024 election, and the American people are being misled.",22.15,14.78,7.37
Many wondered if the reality tv star turned presidential hopeful was really a serious competitor for the presidency when he began his campaign.,21.26,13.89,7.36
"Trump's rhetoric, curse words and all.",23.49,16.15,7.35
"Trump's campaign was nothing if not audacious, but to see him say such things in front of the Capitol, right to the establishment's face as those sitting behind him wore those tight smiles, was beyond audacious.",19.96,12.62,7.33
"The mainstream political and media establishment   evident beyond any doubt after reading this latest feature in The Washington Post written by Craig Timberg entitled,  Russian propaganda effort helped spread  fake news  during election, Experts say.",19.12,11.87,7.25
USA Today is one of the most virulently anti-Trump publications you will find anywhere.,21.73,14.49,7.24
The media and politicians have been targeting Bannon since the election. They've been calling him all of the usual names like Nazi or White Supremacist.,22.72,15.5,7.22
The media is actually fabricating a reality tonight,21.48,14.28,7.21
the statue outrage is a hoax.,21.1,13.91,7.2
No one exposes the truth about the corrupt and self-serving Democrat party better than Dinesh D Souza.,19.77,12.6,7.17
And she blamed that on Obama.,21.6,14.48,7.12
"This weekend, the right-wing rag ran a story that featured fea...",18.37,11.27,7.1
Kelly to White House press corps on Trump's frustrations: One of his frustrations is you. All of you. Not all of you. But many of you.,20.22,13.15,7.07
You Can Thank Obama and All of the Democrat Race Baiters Out There for a Rise in Hate and Division,22.18,15.14,7.05
"Their leaders include such great minds as Michele Bachman and Ted Cruz, two people with impressive educational backgrounds who can t seem to stop saying incredibly dimwitted things.",19.88,12.84,7.04
President Obama's statement that he thought she shouldn't be charged because she didn't intend to violate the law is the real Clinton obstruction,23.21,16.19,7.02
"Trump has had an historically difficult time finding A-list musicians willing to debase themselves enough to perform at his inauguration, the planning committee said no to Kanye West as its star or anything else, and the reason is incredibly racist.",19.22,12.21,7.01
Donald Trump should not be lashing out like this. It s embarrassing.,21.35,14.37,6.98
conservatives have turned against her,22.01,15.08,6.93
"Rudy Giuliani: This is the most anti-police, anti-law enforcement convention I've ever seen in my whole life.",21.16,14.25,6.91
"Trump slammed Lewis on Twitter and said Lewis was  all talk, no action : Congressman John Lewis should finally focus on the burning and crime infested inner-cities of the U.S. I can use all the help I can get!",26.08,19.21,6.87
"Report From the First Presidential DebateBy P.J. O Rourke On Monday night, presidential candidates Donald Trump and Hillary Clinton met for their first head-to-head debate. What was the evening s big news? Deion Jones returned a 90-yard interception to score a touchdown and cap the Atlanta Falcons victory over the New Orleans Saints, 45-32!",21.79,14.97,6.82
Americans need to ask themselves why the media never mentions  that the Democrats are the party responsible for slavery when they make them out to be some sort of heroes for attempting to whitewash (pun intended) an important part of our American history.,15.96,9.15,6.81
"In 2012, Moore won his job back, then called same-sex relationships sodomy, and decried the immorality of it all in the wake of the Supreme Court legalizing same-sex marriage across all 50 states.",15.07,8.28,6.79
Don's rabid base of right-wing fanatics,18.82,12.05,6.78
The opposition is coming from blacks who know the whole statue outrage is a hoax.,20.66,13.88,6.78
His only loyalties lie with his white supremacist agenda.,21.28,14.51,6.77
"compared with the NFL matchup, watching the presidential debate was like standing on the sidelines at a flag football game between a couple of Montessori schools.",18.12,11.38,6.74
disturbing crimes,14.54,7.8,6.74
Trump s campaign isn t the joke campaign everyone originally made it out to be.,19.84,13.11,6.73
being kicked out for wearing Trump hats,23.11,16.4,6.71
Goldstone knew the Trumps from their time in the real estate business and probably exaggerated and maybe willfully contorted the facts for the purpose of making the meeting interesting to the Trump people.,23.31,16.64,6.67
"the people keep defining this insane progressive narrative, and the people who vehemently disagree with them keep lining their pockets.",20.25,13.59,6.66
President Trump s new DOJ needs to come in and bust some heads and work with some real journalists to break this story wide open.,25.86,19.24,6.63
"He just glossed over that. Like, we accept that now. We send our sons off to stupid wars and they come back a bit different, because he beat up his girlfriend, was talking suicide. And she blamed that on Obama.",21.93,15.35,6.58
"He told the Weekly Standard, a conservative publication that has long been critical of Trump, in part: I feel jacked up. Now I'm free. I've got my hands back on my weapons. Someone said, it's Bannon the Barbarian. I am definitely going to crush the opposition. There's no doubt. I built a f***ing machine at Breitbart. And now I'm about to go back, knowing what I know, and we're about to rev that machine up.",24.44,17.85,6.58
"Trump said: Once again, it's very clear that even in times of great tragedy and danger, all Trump cares about or pays attention to is image and ratings.",22.87,16.3,6.56
This is a way to stop talking about black folks not working.,15.96,9.42,6.55
Jerry Brown (D) and all California Democrats should be arrested and brought up on federal voter fraud charges.,21.94,15.44,6.51
He's really taken things much further in that direction since the recent revelations regarding Trump's mini me s attempts to get dirt on Hillary Clinton from the Russians during the 2016 election season.,27.1,20.61,6.49
Trump is not the only hypocrite.,22.55,16.06,6.49
A.G. Lynch made law enforcement decisions for political purposes gave Hillary Clinton a free pass and protection.,18.76,12.28,6.48
The premise of that article is false that in any way the President had a conversation that was inappropriate or that resulted in any kind of lapse in national security.,26.12,19.65,6.47
President Obama blamed for her son’s domestic violence,17.16,10.7,6.45
Twitter rants,18.18,11.74,6.44
PELOSI S RANT: https://www.youtube.com/watch?v=GUL3-iB5_pMVia: WFB,24.51,18.08,6.44
"Trump was all about strength. To a nitwit like him, the strength of the Tiananmen Square massacre came from the tanks that ran over students on bicycles leaving in their wakes some of the most horrific images ever caught on film.",20.02,13.59,6.43
Maybe he really is just that stupid.,15.38,8.97,6.41
"Fortunately for the two women and one man, U.S. District Judge David Hale refused to dismiss the case, stating that the plaintiffs  lawsuit  described a chaotic and violent scene in which a crowd of people turned on three individuals,  with the plaintiffs being punched, kicked and verbally abused.",13.88,7.5,6.38
"has angered many on the right, naturally.",15.01,8.63,6.38
The Washington Post is playing a key role in waging a new McCarthy-style witch hunt targeting any independent websites which dare to challenge the prevailing anti-Russian party line currently dominating the mainstream political and media establishment.,21.91,15.58,6.33
"lying, corrupt and crooked woman",19.35,13.06,6.29
pathetic and insulting,13.07,6.81,6.26
Trump is too fond of the broad stroke.  He s trying to paint a detailed picture of what s wrong with American politics while using only a four-inch brush.  He has trouble giving concise and to-the-point examples of what he means.,22.71,16.5,6.22
"smug anti-Trump actor,",20.07,13.86,6.21
"Democrats did, indeed, launch much publicity.",22.58,16.4,6.18
Trump ruined his speech by showing America that he still doesn't know how to be presidential and cannot tell the difference between what is appropriate and what is not in a dire situation.,22.91,16.75,6.16
"With Obama unable to use his Chicago thug-like political tactics on Putin, could this finally be the end of Hillary Clinton's career in politics?",24.55,18.44,6.11
"He clapped his hands and shouted the slur, loses his job and gets called out   and he couldn’t even get it right.",13.46,7.36,6.1
The campaign began as a protest against Trump over his  grab them by the p*ssy  remark.,21.93,15.91,6.02
"Trump also claimed that he believed Hillary would have won the Democratic nomination long before now, but said he enjoys watching her.",22.78,16.77,6.0
Trump failed to see the irony as called the battle between to two Democrats  nasty  and that he hates that.,22.33,16.4,5.94
"The claim came during an emergency motion asking the US appeals court to throw out a lawsuit filed by three people who believe they were manhandled at a Trump rally that took place during March last year in Louisville, KY.",21.98,16.04,5.93
"Shocking photos, posted on Twitter by Syrian activist group Raqqa is Being Slaughtered Silently, show the victim then being crucified in public.",15.84,9.95,5.89
"Is this all Mueller has? Because, if it is, it's pathetic.",26.26,20.39,5.88
Racist f*cks,12.77,6.91,5.86
"The controversial June 2016 meeting at Trump Tower between Russians, Donald Trump Jr. and others was indeed about the Magnitsky Act, not dishing dirt on Hillary Clinton, CNN reported.",25.16,19.35,5.81
"Obama skips Supreme Court Justice Anton Scalia s funeral and the funeral   of iconic First Lady, Nancy Reagan, but finds time to take a few pot shots at GOP presidential front-runner, Donald Trump while attending a hipster festival with Michelle.",21.15,15.34,5.81
millennials are 100% FED Up! with their generation.,12.56,6.76,5.8
"investigators believe that the shots were fired approximately at the moment at which LaVoy Finicum was exiting his truck with his hands up, prior to when he appears to reach into his jacket and is shot by two Oregon State Police troopers.",16.51,10.72,5.78
the people behind this fraud lied and broke the law in order to spread malicious lies about Planned Parenthy,18.14,12.35,5.78
"Trump’s bow to the Saudi king is embarrassing to Fox hosts, who also spent years criticizing President Obama for showing respect to the leaders of other nations.",23.28,17.5,5.78
"coordinated response that goes right along, and I know this is big me saying this, with Hitler s Mein Kampf and the big lie.",19.81,14.05,5.76
Bannon is just as much of a dangerous lunatic as we all knew him to be.,16.5,10.74,5.76
racial tension,14.68,8.94,5.74
"Turn it up, tune in and hang with the ACR Brain-Trust for this weeks boil downs and analysis and the usual gnashing of the teeth of the political animals in the social reject club.",19.86,14.16,5.7
"Don promised to send  10,000  shirts reading  Very Fake News  to his friends  in the mainstream media.",23.49,17.8,5.69
Most fans were not impressed with Kaepernick s disrespect of our American flag and of our national anthem.,12.17,6.5,5.67
"Spencer tried to get into a taxi, but counter-protesters pulled him out of the vehicle, according to the Antifa site.",14.34,8.67,5.67
all of which turned up absolutely no wrongdoing on the part of Planned Parenthood.,13.18,7.52,5.66
a right-wing activist secretly spying on a Democratic senate campaign was exposed.,21.78,16.11,5.66
"Scaramucci went after President Trump today? AND Steve Bannon? Yes, he was on the morning shows letting it rip on those two!",23.4,17.77,5.64
He told Bernie Sanders to crawl on his hands and knees,21.44,15.81,5.64
"CNN now proves it Yes, CNN!",22.5,16.87,5.63
has reportedly left her suspended from her popular show.,12.52,6.88,5.63
She is clearly shaken,12.04,6.44,5.6
"Trump’s bow to the Saudi king is embarrassing to Fox hosts, who also spent years criticizing President Obama  1. ",23.87,18.27,5.6
"The hacking claim is nothing new  backed by the White House and trumpeted by Hillary Clinton, the US mainstream media has claimed that Russia has been hacking and manipulating our US elections.",24.32,18.74,5.58
Artifacts from former San Francisco 49ers quarterback Colin Kaepernick s national anthem protests will reportedly soon be on display at the Smithsonian s National Museum of African American History.,13.02,7.44,5.58
"The legislation, he said, would not protect someone who deliberately tries to run down a protester, and it would not let drivers off the hook if they hit a jaywalker or a child chasing a ball into the street.",14.83,9.29,5.54
Republican presidential hopeful Ben Carson was confronted by an LGBT activist on Monday evening about the retired neurosurgeon s previous remarks that gay people have made the choice to be gay   and luckily the awkward encounter was recorded on camera and posted by ABC News.,15.49,9.96,5.53
His family is paying the price and Twitter isn't shedding a single tear.,18.21,12.76,5.45
"Where s George Soros when his top  fact  checkers, aka  conservative news slayers , need him?",24.95,19.53,5.43
has spurned outcry from both the left and the right,15.75,10.39,5.36
Trump has previously denounced Duke’s views and his endorsement of his campaign.,19.74,14.39,5.35
"Republicans are probably crying foul at this point, but Politifact took up the case and investigated Reid's claims, and conservatives are definitely not going to like the results.",25.27,19.92,5.35
This is Hillary's America.,19.97,14.62,5.35
The comedic host went all out in his defense of Bernie Sanders’ foreign policy experience.,21.56,16.24,5.32
"The Washington Post has gone off the deep end this week, claiming that Russia is behind the  fake news  crisis which they claim helped propel an insurgent Donald Trump to victory on Nov 8th, and they are still standing by the official conspiracy theory that Russia has somehow hacked into the US elections.",25.49,20.19,5.3
Democrats in the statehouse and tried to force her to resign simply because she criticized Trump.,20.47,15.18,5.3
It appears Elizabeth Warren managed to cover them all.,17.85,12.57,5.27
"Disgrace! John Kerry says the problem with Syria is that young Americans don't want 2 die anymore Secret Audio John Kerry Behind Closed Doors pic.twitter.com/0K4fvLuaUT TRUMP ANOMALY (@ANOMALY1) January 3, 2017",23.43,18.23,5.2
"she got more votes in 2016 than she did in 2008, especially because of the fact of the fact that the 2008 race was a three-way race for some time between Clinton, now President Barack Obama, and ex-Sen. John Edwards.",15.33,10.13,5.2
"The president's endorsement usually helps a candidate, yet it's Moore who just won.",21.04,15.85,5.19
"Judge Jeanine gives us facts on the relationship between our State Department and The Clinton Foundation 12,000 e-mails between the two!",22.86,17.7,5.16
"Trump is definitely a fascist. Or, at the very least, he is acting the part of one.",20.2,15.07,5.14
The  Grab Your Wallet  campaign has only been growing since Trump won the election the Russians rigged in November.,21.31,16.28,5.03
"she has significant problems with her own party s core voters, meaning that if whoever wins the Republican nomination is able to woo these disaffected Democrats into the GOP camp, there could be a blowout in November.",19.63,14.65,4.98
It Appears Donald Trump Jumped the Gun When He Announced a Ban on Transgender People Serving in the Military,23.2,18.22,4.98
We don't want you to believe that this scandal is real so we're not going to report about it.,22.13,17.16,4.97
Trump even retweeted Fox hosts who parroted his claim that the Democrats are the ones who committed collusion.,24.31,19.37,4.93
"When it came time to hire the person who would control the multi-billion dollar New York/New Jersey housing department, he went with his son's wedding planner — a woman with zero experience in housing and who is currently mixed up in Eric Trump's charity fraud scandal.",20.29,15.36,4.93
"Police, a few patriotic state bureaucrats, concerned real American citizens or anyone else are not even allowed to question citizenship of obvious illegal grifters because that is considered  racist.",17.51,12.6,4.92
"The plaintiffs are attempting to sue Trump and his campaign, but the court is refusing to hear the case.",19.22,14.35,4.88
Obama may be guilty of obstruction in the investigation into Hillary's email.,23.39,18.52,4.87
"If there's one thing Republican presidential front-runner Donald Trump likes to boast, it's that he's not afraid of anything or anyone.",21.8,16.93,4.86
"One of the people in the argument stepped away, fired back into the crowd at the person or people with whom he was arguing.",14.3,9.43,4.86
"The call between the two was emotional, according to the Post. McCain was recently diagnosed with the same kind of brain cancer that Biden's son Beau died of in 2015.",15.97,11.12,4.85
This is so over the top it's not funny.,12.6,7.76,4.84
"Obama's goal of making gun control a reality in the United States of America is one step closer, thanks to this radical judge",25.89,21.06,4.83
Trump's big mouth was his undoing.,21.24,16.42,4.83
Antifa supporters have no place with them.,14.9,10.14,4.76
the Democrat Party and how they have fought for decades to keep blacks down in America.,15.02,10.27,4.75
"The planning committee said no to Kanye West as its star or anything else, and the reason is incredibly racist.",18.76,14.01,4.75
Buffett is the third well-known billionaire to come out in support of Clinton and bash Trump.,20.53,15.79,4.74
"He accused Obama of using our military for social experiments (including wiping out don't ask, don't tell and...)",24.61,19.89,4.72
"Spencer was confronted at a demonstration in Washington, D.C., against the military strikes in Syria.",16.83,12.16,4.67
the media didn’t even get to lay eyes on the document until just before Trump signed it into law.,20.32,15.66,4.66
the campaigning has notably increased since Trump s Presidential victory.,18.67,14.02,4.65
"people who leaked stuff to The New York Times, those people are political appointees",20.86,16.23,4.63
white supremacist and nationalist recruitment efforts on US campuses since the commencement of the 2016 academic year.,18.44,13.82,4.62
blamed that on Obama,21.44,16.84,4.59
Patton is involved in the  charity golf tournaments that investigators say Eric Trump and his father used to skim $1.3 million from for the ill-gotten gains.,15.82,11.29,4.54
"Zero Hedge has reported on the ads that are running in multiple cities on backpage.com  Tyler Durden Zero HedgePresident-elect Donald Trump has complained about paid activists both before and after the 2016 presidential campaign, and as The Washington Times reports, he may have a point.Job ads running in more than 20 cities offer $2,500 per month for agitators to demonstrate at this week s presidential inauguration ev... ",15.47,10.95,4.52
"Deschutes County Sheriff Shane Nelson and Malheur County District Attorney Dan Norri, who investigated the incident, concluded that the Oregon State Police officers were justified in shooting Finicum, but also announced that they believe the FBI agents on the scene might have fired two shots that were not reported, and agents on the scene might have disposed of bullet casings to cover them up.",16.25,11.76,4.49
in any way the President had a conversation that was inappropriate or that resulted in any kind of lapse in national security,24.36,19.88,4.49
"Sanders is drawing on a comment made by Marco Rubio, who said: I know people like it that Donald Trump says whatever he wants and whatever they feel like saying. Presidents cannot say anything they want. Presidents have to understand that their... ",20.52,16.03,4.48
"He's the former chief justice of Alabama's state Supreme Court, and he's the one who ordered all of Alabama's probate judges to defy the U.S. Supreme Court's ruling on same-sex marriage in 2013.",14.03,9.55,4.48
"The victim, named by news agency ABNA as Abdulhadi Essa al-Salem, was stabbed in the heart before being shot in the head in the ISIS stronghold of Raqqa, Syria.",12.41,7.98,4.43
Republicans in the state decided that a woman’s place is not in the Republican Party if she won’t submit to Trump.,18.04,13.62,4.42
"we need running our country a lying, corrupt and crooked woman",22.7,18.37,4.32
Her only qualification is that she is loyal to Trump.,19.46,15.18,4.28
the premise of that article is false,15.55,11.3,4.25
The Republican Party s War on LGBTQ People.,15.99,11.76,4.24
"The Trump campaign is being sabotaged by foreign interference and the deep state, and the American people are being silenced.",24.62,20.41,4.21
Scott could only stand there and take credit for the economy recovering from a recession his state's housing market bubble helped create with that disturbing smile on his face that is rumored to consume the souls of small children and fluffy kittens,13.83,9.65,4.18
He was yanked from the Alabama Supreme Court's bench in 2003 for refusing to remove a massive monument to the Bible's 10 Commandments from the grounds of the courthouse.,13.53,9.37,4.16
He hides behind the podium and/or doesn't show up to an event at all.,15.0,10.88,4.12
PELOSI S RANT,23.14,19.04,4.11
The documents provided to CNN back Trump Jr. s account   and that of Jared Kushner   that the meeting was insignificant and a waste of their time.,24.07,20.0,4.07
"Rudy Giuliani: Last night was the Democrat insider fantasy land, they didn't talk about one world problem",21.51,17.48,4.03
It's time to go behind the curtain discover the soul of the Democratic Party.,18.33,14.33,4.0
"There's a debate going on in the Kremlin between the Foreign Ministry and the Intelligence Services about whether they should release the 20,000 of Mrs. Clinton's emails that they have hacked into,",25.59,21.62,3.97
mass shootings,12.96,9.02,3.94
Trump replied that he didn't think his campaign would come out on top so quickly.,24.31,20.38,3.93
lame duck president,17.78,13.85,3.93
Kelly was able to address the most recent... ,15.09,11.18,3.91
Trump congratulated the agency on raising its image.,19.71,15.82,3.9
Trump is trying to pander to Christians. He really needs them in order to secure his chances at re-election.,20.58,16.72,3.86
The suspect is still at large.,16.02,12.16,3.86
Nordstrom and several other retailers have dropped Ivanka Trump s product line from their inventory.,14.21,10.36,3.86
"If seeing him at the podium doesn t light a fire under your ass to make sure he s never elected, then nothing will.",18.59,14.73,3.86
Meet Alice Miller who single-handedly scr*ked the legal voters of America by letting non-citizens vote.,15.08,11.22,3.85
The left is getting what they deserve.,17.42,13.57,3.85
"Jon Ritzheimer, infamous hater of Muslims and one of the terrorists responsible for the occupation of the Malheur National Wildlife Refuge in Oregon, managed to escape the arrests made Tuesday by federal agents of ringleader Ammon Bundy and his band of right-wing nutjobs.",17.04,13.2,3.85
"Bannon was previously executive chairman of Breitbart, and the right-wing website has published a series of stories attacking McMaster in recent weeks.",16.63,12.8,3.83
He also claimed the story is nothing more than a diversion.,14.22,10.4,3.82
"threaten political opponents and even people who aren't really political opponents, as long as they dare say mean things about our Der Fuhrer Elect.",19.09,15.29,3.8
"The deletions of 31,830 emails in the new context of Napolitano's statement have suddenly become remarkably relevant.",16.28,12.5,3.78
"Obama Attorney General Loretta Lynch asked him to call the Hillary Clinton probe a matter, not an investigation, but Mukasey said that s not obstruction.",21.35,17.59,3.77
"If I had to bet now, I regret to say, I would bet on Hillary.",15.37,11.63,3.74
Trump’s meeting with the Saudi king proved that Trump is a hypocrite.,21.65,17.92,3.73
Trump answered. I hate to see it.,22.9,19.27,3.63
war on LGBTQ people.,13.72,10.1,3.62
It’s politics. Disgusting politics that really does put us at risk.,21.37,17.8,3.57
"Backed by a swarm of left-wing groups, Miller, by herself, made it easier for foreigners to vote in Kansas and Arizona.",13.24,9.69,3.56
The opposition research firm has faced renewed scrutiny after litigation revealed that the DNC and Hillary Clinton’s campaign paid for that research. Congressional Republicans have since questioned whether that politically financed research contributed to the FBI’s investigation of Russian collusion with the Trump campaign making Fusion’s 2016 contacts with Russian interests all the more relevant.,22.97,19.42,3.55
indicted for Prohibition of the Purchase and Sale of Human Organs   an incredibly serious charge.,15.48,11.93,3.55
"Obama administration political shills, did the dirty work in targeting banks",23.43,19.88,3.54
Trump is pissed.,24.93,21.39,3.53
losing his mind.,13.88,10.37,3.51
Republican presidential candidate Dr. Ben Carson has decided to tell us all about how President Obama grew up.,13.12,9.61,3.51
"Pelosi responded. We re not here to talk about the president s family, but the fact is, I think everybody knows what the word complicit is, and what it means is you re not acting in the interest of the American people, Pelosi continued.",21.66,18.24,3.42
"The forgotten men and women of our country will be forgotten no longer, Trump said. Everyone is listening to you now.",15.8,12.4,3.4
"local activist Paul McKinley: While they're taking about changing the name, our community needs jobs, contracts, and opportunity.",14.7,11.32,3.38
"Sen. Jefferson Beauregard Sessions III, Donald Trump s friendly but fierce Alabama ally, has a message for Republicans still queasy about their party s nominee: Tide s about to roll over you.",21.59,18.37,3.22
Donald Trump Asks Terminally Ill to Hang On Until Election Day,17.55,14.36,3.2
Reaction from the school board was swift. Mesa-Tejada has had a no trespassing order issued.,12.77,9.59,3.18
He s not  traditionally American  enough.,13.25,10.12,3.13
uniformed as possible to fill their minds with vile nonsense so they vote against their best interests.,16.92,13.82,3.1
Obama administration's efforts with minority home ownership and perceived injustices,18.34,15.25,3.08
The Oregonian is still trying to tart-up this FBI and OSP debacle by calling it a traffic stop.,16.63,13.58,3.05
Republican party needs its base as uniformed as possible to fill their minds with vile nonsense so they vote against their best interests.,16.13,13.11,3.02
Make America Great Again,16.41,13.39,3.02
according to U.S. officials. Those officials described the individuals as actors known to the intelligence community and part of a wider Russian operation to boost Trump and hurt Clinton s chances.,24.09,21.14,2.95
"Mukasey said that s not obstruction because she s simply playing the  same card the Clinton campaign is playing,  Mukasey said.",18.84,15.89,2.94
dirty dealings,13.15,10.21,2.94
"President Obama s Veto Pen  got some exercise when he dashed Republicans  hopes of gutting clean water rules   a curious mission, given the fact that Republicans in Michigan literally murdered 10 people and poisoned hundreds of kids with the state s disgusting water supply  water their Governor assured them was safe to drink.",20.42,17.49,2.93
Black folks get no contracts. Our schools are being closed down. Our houses are being boarded up. But you want to talk about a statue.,13.81,10.91,2.91
He goes on and on about the Supreme Court and who the next justice needs to be to replace the recently departed Antonin Scalia.,20.42,17.52,2.9
Arrest this guy!,12.79,9.96,2.83
"Jackson responded,  Language like that, Congressman, purge? Purge the Department of Justice? Rooney responded,  Well, I think that Mr. Strzok could be purged, sure.",20.47,17.65,2.82
I'm Mexican American and I'm voting for Donald Trump.,14.65,11.87,2.78
A man cannot believe that he is about to be destroyed. The optimism of people standing on the edge of the grave is astounding.,14.25,11.49,2.76
make America great again.,16.61,13.86,2.75
"The 2024 election is being rigged by the Democrats, and the American people are being denied their right to vote.",17.62,14.88,2.74
Trump has a habit of declaring progress on major priorities that do not necessarily reflect the reality of lawmaking.,19.39,16.64,2.74
