id,headline,text,category,label
57,Health Experts Warn Against Trend of Eating Frozen Ginger Cubes,A social media trend encouraged consuming frozen ginger cubes to 'shock' the immune system. Nutritionists warned the practice offered no benefits and could irritate the digestive tract.,health,fake
58,Environmental Study Finds Urban Fog Contains Beneficial Minerals,Researchers analyzing fog samples in coastal cities discovered trace minerals that may contribute to soil enrichment. The concentrations were low but measurable across multiple locations.,environment,real
59,Consumer Alert: Smart Lamps Allegedly Whisper Advertisements at Night,A rumor circulated claiming smart lamps emitted faint audio ads while users slept. Investigations found no audio hardware in the devices and attributed the claim to online hoaxes.,consumer,fake
60,Celebrity Says Her Makeup Line Uses Stardust From Meteorites,A celebrity entrepreneur claimed her cosmetics contained powdered meteorite fragments. Analysts found the products used standard mineral pigments with no extraterrestrial material.,celebrity,fake
61,Scientists Identify Plant That Absorbs Excess Iron From Soil,Botanists discovered a plant species capable of drawing unusually high levels of iron from contaminated soil. The finding may support future land‑reclamation efforts.,science,real
62,Health Study Suggests Mild Stretching Before Bed Improves Sleep Quality,A controlled experiment found that participants who performed gentle stretching routines before bedtime reported better sleep consistency. Researchers attributed the effect to reduced muscle tension.,health,real
63,Environmentalists Warn of Algae That Mimics Oil Slicks,"A viral post claimed a new algae species could disguise itself as an oil spill. Marine biologists debunked the claim, noting the images showed harmless surface blooms misidentified by the public.",environment,fake
64,Consumer Group Praises New Dishwasher That Recycles Its Own Water,A home appliance manufacturer introduced a dishwasher with an internal filtration loop that reused rinse water. Independent testing confirmed the system reduced water consumption significantly.,consumer,real
65,Celebrity Claims She Can Predict Rain Through 'Energy Sensitivity',A television personality stated she sensed atmospheric energy shifts that allowed her to predict rain. Meteorologists dismissed the claim as coincidence.,celebrity,fake
66,Scientists Develop Gel That Repairs Cracked Smartphone Screens,"Materials researchers created a polymer gel that temporarily fills micro‑cracks in phone screens. While not a permanent fix, the gel improved screen durability during testing.",science,real
67,Health Trend Suggests Drinking Melted Snow Boosts Metabolism,A viral claim stated that consuming freshly melted snow could accelerate metabolism. Experts clarified that melted snow is simply water and offers no metabolic advantage.,health,fake
68,Environmental Study Finds Birds Using Bottle Caps as Nest Insulation,Field researchers observed several bird species incorporating plastic bottle caps into nests for insulation. The behavior was documented across multiple regions.,environment,real
69,Consumer Alert: New Air Purifier Allegedly Emits Harmful Light Waves,An online rumor claimed a popular air purifier emitted dangerous light frequencies. Engineers confirmed the device used standard UV‑C bulbs within safe exposure limits.,consumer,fake
70,Celebrity Says She Eats Only Purple Foods on Mondays,A celebrity shared a diet routine involving exclusive consumption of purple foods once a week. Nutritionists noted the practice was harmless but offered no special benefits.,celebrity,real
71,Scientists Discover Bacteria That Thrive on Pure Copper Surfaces,"Microbiologists identified a bacterial strain capable of surviving on copper, a material typically hostile to microbes. The discovery may influence future antimicrobial design.",science,real
72,Health Experts Warn Against Trend of Sniffing Herbal Smoke for Focus,A wellness trend encouraged inhaling herbal smoke to improve concentration. Medical professionals warned the practice could irritate the respiratory system.,health,fake
73,Environmentalists Report Desert Plants Blooming Out of Season,Ecologists documented unusual off‑season blooms in desert regions following rare rainfall patterns. The phenomenon was confirmed through satellite imagery.,environment,real
74,Consumer Group Claims New Toothpaste Glows to Reveal Hidden Cavities,A viral claim suggested a toothpaste brand glowed in the dark to highlight cavities. Testing showed the glow came from harmless phosphors and had no diagnostic function.,consumer,fake
75,Celebrity Says She Meditates Inside a Giant Quartz Dome,"A singer posted photos of herself meditating inside a quartz‑lined dome, claiming it amplified spiritual clarity. Geologists confirmed the dome was decorative and offered no special properties.",celebrity,fake
76,Scientists Develop Fabric That Generates Heat From Body Movement,Engineers created a textile embedded with micro‑generators that produced small amounts of heat when stretched. Early prototypes showed promise for cold‑weather gear.,science,real
77,Health Trend Claims Eating Raw Onions Before Sleep Prevents Nightmares,A viral claim suggested that consuming raw onions before bed reduced nightmares. Sleep researchers found no evidence supporting the idea.,health,fake
78,Environmental Study Finds Coral Reefs Recovering Faster After Storms,Marine scientists observed accelerated coral recovery in regions with reduced coastal pollution. The findings were supported by multi‑year surveys.,environment,real
79,Consumer Alert: Smart Thermostats Allegedly Sell Temperature Data,A rumor spread that smart thermostats were selling user temperature patterns to advertisers. Investigations found no data‑sharing mechanisms in the devices.,consumer,fake
80,Celebrity Claims Her Perfume Is Infused With 'Moon Particles',A celebrity claimed her perfume contained particles collected from moon dust. Chemists confirmed the product used standard fragrance compounds with no lunar material.,celebrity,fake
81,Scientists Identify Mineral That Absorbs Sound in Underground Caves,Geologists studying cave acoustics discovered a mineral formation that dampened sound waves more effectively than surrounding rock. The finding may inform acoustic engineering.,science,real
82,Health Study Suggests Warm Foot Baths Reduce Anxiety Levels,A clinical trial found that participants who soaked their feet in warm water experienced reduced anxiety symptoms. Researchers attributed the effect to improved circulation and relaxation.,health,real
83,Environmentalists Warn of Trees That Release Excess Oxygen at Night,"A viral claim suggested certain trees emitted dangerous levels of oxygen after dark. Botanists debunked the claim, noting trees reduce oxygen output at night.",environment,fake
84,Consumer Group Praises New Reusable Packaging That Dissolves in Hot Water,A startup introduced packaging made from plant‑based polymers that dissolve safely in hot water. Tests confirmed the material left no harmful residue.,consumer,real
85,Celebrity Says She Uses a 'Dream Amplifier' Helmet to Sleep Better,A celebrity endorsed a helmet that allegedly enhanced dream vividness. Sleep experts dismissed the claim as marketing hype.,celebrity,fake
86,Scientists Develop Enzyme That Breaks Down Food Waste Rapidly,Biochemists engineered an enzyme that accelerates the decomposition of organic waste. Pilot programs showed significant reductions in landfill mass.,science,real
87,Health Trend Claims Drinking Melted Ice Cubes Improves Skin Elasticity,A viral trend suggested that consuming melted ice cubes enhanced skin elasticity. Dermatologists confirmed the claim had no scientific basis.,health,fake
88,Environmental Study Finds Mountain Lakes Warming Faster Than Expected,Researchers monitoring alpine lakes recorded temperature increases exceeding previous projections. The findings highlight the sensitivity of high‑altitude ecosystems.,environment,real
89,Consumer Alert: New Smart Wallet Allegedly Tracks Users' Spending Thoughts,A rumor claimed a smart wallet could detect when users were thinking about making purchases. Engineers confirmed the device only tracked transaction history.,consumer,fake
90,Celebrity Claims She Can Absorb Creativity by Touching Old Books,A public figure stated she gained creative energy by touching antique books. Historians dismissed the claim as superstition.,celebrity,fake
91,Scientists Discover Micro‑Organisms That Survive Inside Volcanic Glass,Geologists found microbial colonies thriving within porous volcanic glass samples. The discovery may expand understanding of extremophile habitats.,science,real
92,Health Study Suggests Light Stretching Improves Digestion,A small clinical trial found that participants who performed gentle stretching after meals reported improved digestive comfort. Researchers noted the effect may relate to reduced abdominal tension.,health,real
93,Environmentalists Warn of Fish That Mimic Floating Leaves,A viral post claimed a fish species evolved to mimic drifting leaves to evade predators. Marine biologists found the images were edited and not representative of real species.,environment,fake
94,Consumer Group Confirms New Water Filter Removes Micro‑Sediments Effectively,A consumer testing lab evaluated a new water filter designed to capture micro‑sediments. Results showed improved clarity compared to previous models.,consumer,real
95,Celebrity Says She Eats Only Foods That Match Her Outfit,A celebrity claimed she coordinated her meals with her clothing colors. Stylists and nutritionists noted the practice was purely aesthetic.,celebrity,real
96,Scientists Develop Solar Paint That Generates Small Amounts of Power,"Engineers created a paint infused with photovoltaic particles capable of producing low‑level electricity. While not yet practical for large‑scale use, the concept showed promise.",science,real
97,Health Trend Claims Rubbing Ice on Knees Improves Memory,A viral claim suggested that applying ice to the knees enhanced memory retention. Neurologists confirmed the idea had no scientific support.,health,fake
98,Environmental Study Finds Soil Microbes Communicate Through Chemical Pulses,Ecologists discovered that soil microbes exchanged chemical signals in rhythmic pulses. The finding may reshape understanding of underground ecosystems.,environment,real
99,Consumer Alert: New Smart Mug Allegedly Reads Users' Thoughts,A rumor claimed a smart mug could detect emotional states through hand contact. Engineers confirmed the mug only measured temperature and grip pressure.,consumer,fake
100,Celebrity Claims Her Shoes Are Powered by 'Positive Energy',A celebrity stated her footwear line harnessed positive energy to improve posture. Orthopedic specialists confirmed the shoes contained standard cushioning materials.,celebrity,fake
101,Scientists Discover Micro‑Crystals That Store Heat for Days,Materials scientists announced the development of micro‑crystals capable of absorbing heat and releasing it slowly over several days. Early tests showed potential applications in passive home‑heating systems.,science,real
102,Health Trend Claims Drinking Cold Tea Improves Hearing,A viral claim suggested that consuming chilled herbal tea could enhance auditory sensitivity. Audiologists reviewed the idea and found no evidence supporting any hearing‑related benefits.,health,fake
103,Environmentalists Report Desert Sand Forming Perfect Spheres Naturally,A circulating photo claimed desert sand was spontaneously forming smooth spheres due to wind patterns. Geologists confirmed the images were digitally altered and not representative of natural formations.,environment,fake
104,Consumer Group Praises New Reusable Coffee Pods Made From Rice Husk,A sustainability startup released coffee pods constructed from compressed rice husk fibers. Independent testing confirmed the pods were durable and fully compostable.,consumer,real
105,Celebrity Claims Her Jewelry Line Uses 'Emotionally Charged' Metals,A celebrity designer stated her jewelry pieces were infused with emotional energy during crafting. Metallurgists confirmed the metals used were standard alloys with no unusual properties.,celebrity,fake
106,Scientists Develop Bacteria That Convert Light Into Nutrient Gel,Biologists engineered a bacterial strain capable of producing a nutrient‑rich gel when exposed to specific light wavelengths. The discovery may support future food‑production technologies.,science,real
107,Health Experts Warn Against Trend of Sniffing Frozen Mint Leaves,A wellness trend encouraged inhaling the scent of frozen mint leaves to boost concentration. Medical professionals stated the practice offered no cognitive benefits and could irritate nasal tissue.,health,fake
108,Environmental Study Finds Mountain Moss Absorbs Heavy Metals Efficiently,Researchers discovered that certain moss species in alpine regions absorbed heavy metals at unusually high rates. The finding may support new bioremediation strategies.,environment,real
109,Consumer Alert: Smart Curtains Allegedly Record Conversations,A rumor claimed smart curtains were equipped with hidden microphones. Investigators found no audio hardware in the devices and confirmed the claim was fabricated.,consumer,fake
110,Celebrity Says She Eats Only Foods That Cast 'Positive Shadows',"A celebrity claimed she selected meals based on the shape of their shadows, believing it influenced mood. Nutritionists dismissed the idea as harmless but unfounded.",celebrity,real
111,Scientists Identify Mineral That Glows When Exposed to Human Touch,Geologists studying rare mineral samples found that certain crystals emitted a faint glow when warmed by human skin. The effect was attributed to thermoluminescence.,science,real
112,Health Trend Claims Rubbing Sand on Elbows Improves Memory,A viral post suggested that exfoliating elbows with sand enhanced memory retention. Neurologists confirmed the claim had no scientific basis.,health,fake
113,Environmentalists Warn of Trees That 'Whistle' During High Winds,"A video circulated online showing trees producing whistling sounds during storms. Experts confirmed the noises were caused by wind passing through hollow branches, not a new species behavior.",environment,real
114,Consumer Group Claims New Blender Can Detect Spoiled Fruit,A rumor suggested a blender model could identify spoiled produce through scent analysis. Testing revealed the device had no such capability and relied solely on user input.,consumer,fake
115,Celebrity Claims She Uses a 'Sunlight Chamber' to Boost Creativity,A public figure stated she spent time in a mirrored chamber to enhance creative thinking. Psychologists noted any perceived effect was likely due to relaxation rather than light exposure.,celebrity,fake
116,Scientists Develop Polymer That Repairs Small Holes in Raincoats,Engineers created a flexible polymer that sealed tiny punctures when exposed to moisture. Early prototypes showed promise for outdoor gear applications.,science,real
117,Health Experts Warn Against Trend of Drinking Boiled Cinnamon Water for Strength,A wellness trend claimed boiled cinnamon water significantly increased physical strength. Clinical reviews found no evidence supporting the claim.,health,fake
118,Environmental Study Finds Birds Using Shiny Objects to Attract Mates,Field researchers documented several bird species incorporating reflective objects into courtship displays. The behavior was confirmed across multiple habitats.,environment,real
119,Consumer Alert: New Smart Scale Allegedly Predicts Future Weight,A rumor claimed a smart scale could forecast future weight changes. Engineers confirmed the device only tracked current metrics and trends.,consumer,fake
120,Celebrity Says She Communicates With Her Reflection for Motivation,A celebrity claimed she held motivational conversations with her reflection as part of her routine. Psychologists noted the practice resembled common self‑affirmation techniques.,celebrity,real
121,Scientists Discover Micro‑Organisms That Feed on Sound Vibrations,"A research team reported micro‑organisms that appeared to respond to low‑frequency vibrations. Further analysis showed the organisms were reacting to heat generated by the equipment, not sound.",science,fake
122,Health Study Suggests Warm Herbal Compresses Reduce Stress Hormones,A clinical trial found that participants using warm herbal compresses experienced reduced cortisol levels. Researchers attributed the effect to relaxation and heat therapy.,health,real
123,Environmentalists Warn of Rocks That 'Grow' Overnight,"A viral claim suggested certain rocks expanded dramatically overnight. Geologists explained the phenomenon was due to moisture absorption causing slight swelling, not actual growth.",environment,fake
124,Consumer Group Praises New Refrigerator That Tracks Food Freshness,A home appliance company released a refrigerator with sensors that monitored spoilage indicators. Independent testing confirmed the system accurately detected freshness levels.,consumer,real
125,Celebrity Claims Her Shoes Adjust Themselves Based on Mood,A celebrity stated her footwear line automatically tightened or loosened based on emotional state. Engineers confirmed the shoes had no such sensors.,celebrity,fake
126,Scientists Develop Paint That Changes Color With Air Pressure,Researchers created a paint infused with micro‑capsules that shifted color under varying air pressure. The technology may have applications in structural monitoring.,science,real
127,Health Trend Claims Eating Only Yellow Foods Improves Vision,A viral diet trend suggested consuming exclusively yellow foods enhanced eyesight. Ophthalmologists confirmed the claim was baseless.,health,fake
128,Environmental Study Finds River Stones Moving Slightly During Full Moons,Researchers observed minor shifts in river stones during high‑tide cycles coinciding with full moons. The movement was attributed to increased water flow rather than lunar influence.,environment,real
129,Consumer Alert: New Smart Mug Allegedly Heats Drinks With 'Mind Power',A rumor claimed a smart mug could warm beverages using user concentration. Testing confirmed the mug used a standard heating coil.,consumer,fake
130,Celebrity Says She Eats Only Foods That 'Vibrate Positively',A celebrity claimed she selected meals based on their 'vibrational energy.' Nutritionists noted the concept had no scientific grounding.,celebrity,fake
131,Scientists Identify Plant That Absorbs Excess Nitrogen From Air,Botanists discovered a plant species capable of absorbing nitrogen directly from the atmosphere. The finding may support future soil‑restoration efforts.,science,real
132,Health Study Suggests Gentle Neck Stretches Reduce Headache Frequency,A controlled study found that participants who performed light neck stretches experienced fewer tension headaches. Researchers attributed the effect to improved muscle flexibility.,health,real
133,Environmentalists Warn of Fish That Glow Only During Thunderstorms,A viral video claimed a fish species glowed during thunderstorms. Marine biologists confirmed the footage was digitally enhanced.,environment,fake
134,Consumer Group Confirms New Vacuum Removes Allergens More Effectively,A consumer testing lab evaluated a vacuum model designed to capture microscopic allergens. Results showed improved filtration compared to previous versions.,consumer,real
135,Celebrity Claims She Can Absorb Wisdom by Holding Crystals,A celebrity stated she gained insight by holding specific crystals. Geologists confirmed the stones had no special cognitive properties.,celebrity,fake
136,Scientists Develop Micro‑Fiber That Repels Water and Oil Simultaneously,Engineers created a synthetic fiber with dual hydrophobic and oleophobic properties. The material showed promise for protective clothing.,science,real
137,Health Trend Claims Drinking Melted Snow Improves Lung Strength,A viral claim suggested melted snow enhanced lung capacity. Pulmonologists confirmed the idea lacked scientific support.,health,fake
138,Environmental Study Finds Forest Soil Communicates Through Fungal Networks,Ecologists documented chemical signaling between tree roots facilitated by fungal networks. The findings support theories of interconnected forest ecosystems.,environment,real
139,Consumer Alert: New Smart Mirror Allegedly Reads Users' Thoughts,A rumor claimed a smart mirror could interpret user thoughts through facial analysis. Engineers confirmed the device only tracked skin conditions.,consumer,fake
140,Celebrity Says She Eats Only Foods That Match Her Aura,A celebrity claimed she selected meals based on perceived aura colors. Psychologists noted the practice was a personal belief rather than a nutritional method.,celebrity,real
141,Scientists Discover Micro‑Organisms That Survive on Pure Light,A research team reported organisms that appeared to survive solely on light exposure. Further analysis revealed they consumed trace nutrients in the water.,science,fake
142,Health Study Suggests Warm Showers Reduce Stress Hormones,A clinical trial found that participants who took warm showers experienced reduced cortisol levels. Researchers attributed the effect to relaxation and improved circulation.,health,real
143,Environmentalists Warn of Rocks That Hum During Temperature Swings,A viral claim suggested certain rocks emitted humming sounds during rapid temperature changes. Geologists confirmed the noises were caused by thermal expansion.,environment,fake
144,Consumer Group Praises New Air Filter That Captures Micro‑Dust Efficiently,A consumer testing lab evaluated an air filter designed to trap ultra‑fine dust particles. Results showed significant improvements over previous models.,consumer,real
145,Celebrity Claims She Gains Energy by Standing on Copper Plates,A celebrity stated she boosted her energy levels by standing barefoot on copper plates. Physicists confirmed the practice had no measurable effect.,celebrity,fake
146,Scientists Develop Gel That Strengthens Weak Soil Layers,Geotechnical engineers created a gel that reinforced unstable soil when injected underground. Field tests showed improved structural stability.,science,real
147,Health Trend Claims Drinking Hot Vinegar Improves Brain Power,A viral trend suggested consuming hot vinegar enhanced cognitive performance. Neurologists found no evidence supporting the claim.,health,fake
148,Environmental Study Finds Birds Navigating Using Magnetic Minerals,Researchers discovered that certain bird species used magnetic minerals in their beaks to navigate long distances. The finding supported long‑standing theories of magnetoreception.,environment,real
149,Consumer Alert: New Smart Bottle Allegedly Tracks Emotional State,A rumor claimed a smart water bottle could detect user emotions through grip pressure. Engineers confirmed the device only measured hydration levels.,consumer,fake
150,Celebrity Says She Uses a 'Dream Stone' to Inspire Creativity,A celebrity claimed she slept with a special stone to enhance dream vividness and creativity. Sleep researchers noted the effect was likely psychological.,celebrity,fake
