title,claim,verdict,url
"Claim that previously infected people dont transmit COVID-19 is unsupported, originates from misinterpretation of CDCs FOIA response",Previously infected individuals who get reinfected dont transmit the virus to others; previous infection provides better protectionù than vaccination and this immunity does not waneù,FALSE,https://science.feedback.org/review/claim-that-previously-infected-people-dont-transmit-covid-19-unsupported-misinterpretation-of-cdc-foia-response/
"Childhood vaccine ingredients are safe in the amount present in vaccines; cells, animal products, and viruses arent part of these ingredients","Childhood vaccines contain mixed up toxinsù including formaldehyde, aluminum, aborted fetal DNA, fetal bovine serum, monkey kidney cells, mercury, pig circoviruses",FALSE,https://science.feedback.org/review/childhood-vaccine-ingredients-safe-amount-present-vaccines-cells-animal-products-viruses-arent-part-ingredients/
Justin Biebers facial paralysis is caused by a viral infection; no evidence that COVID-19 vaccine played a role,Ramsay Hunt syndrome that caused Justin Biebers facial paralysis is linked to the COVID-19 vaccine,FALSE,https://science.feedback.org/review/justin-biebers-facial-paralysis-caused-by-viral-infection-no-evidence-that-covid-19-vaccine-played-a-role/
Neurological adverse events are very rare after COVID-19 vaccination and less frequent than after SARS-CoV-2 infection,A study shows that COVID vaccines could be causing òlong-term brain damageù,FALSE,https://science.feedback.org/review/neurological-adverse-events-very-rare-after-covid19-vaccination-less-frequent-than-after-sars-cov2/
"COVID-19 deaths in people with pre-existing health conditions are still caused by COVID-19, contrary to claim by Jimmy Dore",Total Deaths From COVID MUCH LOWER Than Reportedù,FALSE,https://science.feedback.org/review/covid-19-deaths-with-pre-existing-health-conditions-caused-by-covid-19-contrary-claim-jimmy-dore/
"Cats can transmit toxoplasmosis to humans, but no evidence links toxoplasmosis to increased hunger hormoneù ghrelin",,FALSE,https://science.feedback.org/review/cats-can-transmit-toxoplasmosis-humans-but-no-evidence-links-toxoplasmosis-increased-hunger-hormone-ghrelin/
"Scientific evidence shows that COVID-19 mRNA vaccines are effective; their benefits outweigh their risks, contrary to claim by Retsef Levi","COVID-19 mRNA vaccines don't work and are causing serious harm, including death",FALSE,https://science.feedback.org/review/scientific-evidence-shows-covid-19-mrna-vaccines-effective-benefits-outweigh-risks-retsef-levi/
Claim that a mouse study shows COVID-19 vaccine causes turbo cancerù distorts study findings,New Study Links Pfizers COVID Vaccine to òTurbo Cancerù,FALSE,https://science.feedback.org/review/claim-mouse-study-shows-covid-19-vaccine-causes-turbo-cancer-misinterprets-study-findings/
2018s most popular health article promoting cannabis safety found to be biased and misleading,"There have also been studies on the adverse effects of marijuana. One of these was published in mid-2014, focusing the negative health effects of smoking marijuana, particularly on the increased risk for lung cancer.",FALSE,https://science.feedback.org/review/most-popular-health-article-2018-promoting-cannabis-safety-biased-and-misleading/
"COVID-19 mRNA vaccines were tested in clinical trials, arent experimental","COVID-19 mRNA vaccines are experimental, ineffective and harmfulù",FALSE,https://science.feedback.org/review/covid-19-mrna-vaccines-tested-clinical-trials-arent-experimental/
CDCs updated developmental milestone checklists dont mean that standards for childrens development are lowered; they signal a change in the surveillance strategy,The CDC lowered the barù for developmental milestones instead of acknowledging the effects of COVID-19 restrictions in children,FALSE,https://science.feedback.org/review/cdcs-updated-developmental-milestone-checklists-dont-mean-standards-childrens-development-lowered-change-surveillance-strategy/
"Flu vaccine reduces risk of flu-related illness and hospitalization, even though it hasnt eradicated flu",Weve had the flu vaccine for 78 years. We still have the flu.ù,FALSE,https://science.feedback.org/review/flu-vaccine-reduces-risk-flu-related-illness-hospitalization-even-though-hasnt-eradicated-flu/
Study on vaccinated and unvaccinated children used a dubious metric for comparing disease incidence in both groups,Editors note:,FALSE,https://science.feedback.org/review/study-on-vaccinated-and-unvaccinated-children-used-a-dubious-metric-for-comparing-disease-incidence-in-both-groups/
"No, a study didnt establish that tampons are toxic and cause health problems, contrary to social media posts",Toxic metals in tampons are causing reproductive health problems like endometriosis and infertility,FALSE,https://science.feedback.org/review/no-study-didnt-establish-tampons-toxic-cause-health-problems/
Clip of Anthony Fauci discussing potential vaccine safety concerns is from March 2020; current scientific evidence shows COVID-19 vaccines reduce risk of infection and serious illness,"Dr. Fauci opens up the possibility that the COVID-19 vaccine could be making people more likely to be infected by the virusù, a vaccine that looked good in initial safety actually made people worseù",FALSE,https://science.feedback.org/review/clip-anthony-fauci-discussing-vaccine-safety-from-march-2020-scientific-evidence-shows-covid-19-vaccines-reduce-risk-of-infection-serious-illness/
"Viral claim using Dr. Sebi image misleads on the effects of cortisol in the body, recommends unproven moringa supplement to lower cortisol levels","Moringa supplements lower cortisol levels, improve overall health",FALSE,https://science.feedback.org/review/viral-claim-dr-sebi-misleads-effects-cortisol-in-body-recommends-unproven-moringa-supplement-lower-cortisol-levels/
Claims that a phase 3 clinical trial showed that ivermectin is effective against Omicron are inaccurate and based on a now-corrected Reuters article,Phase 3 trial shows that Ivermectin is effective against Omicron,FALSE,https://science.feedback.org/review/claims-that-a-phase-iii-clinical-trial-showed-that-ivermectin-is-effective-against-omicron-are-inaccurate-and-based-on-a-now-corrected-reuters-article/
South Korea study isnt evidence that COVID-19 vaccines cause cancer,,FALSE,https://science.feedback.org/review/south-korea-study-not-evidence-covid-vaccines-cause-cancer/
"Claim that erythromycin eye ointment given to newborns is risky is misleading, lacks context",Erythromycin eye ointment given to newborns carries many risks,FALSE,https://science.feedback.org/review/claim-that-erythromycin-eye-ointment-given-to-newborns-is-risky-misleading-lacks-context-2/
Scientific studies show that the Pfizer-BioNTech COVID-19 vaccine reduces transmission; claim by Rob Roos is misleading,"In COVID hearing, #Pfizer director admits: #vaccine was never tested on preventing transmission. òGet vaccinated for others was always a lie.ù",FALSE,https://science.feedback.org/review/scientific-studies-show-pfizer-biontech-covid-19-vaccine-reduces-transmission-claim-rob-roos-misleading/
"Greenhouse gases cause global warming by trapping infra-red radiations, not by causing more holes in the ozone layerù",Greenhouse gases emitted into the ocean are causing more holes in the ozone layer ¶ the ozone layer has holes in it causing global temperature to riseù,FALSE,https://science.feedback.org/review/greenhouse-gases-cause-global-warming-by-trapping-infra-red-radiations-not-by-causing-more-holes-in-the-ozone-layer/
"Family physician Daniel Stock repeated previously debunked misinformation about COVID-19 vaccines, treatments, and control strategies in a Mount Vernon School Board Meeting","Face masks dont reduce the spread of respiratory infections; COVID-19 vaccines are ineffective, and may lead to more severe disease; ivermectin, vitamin D, and zinc are effective COVID-19 treatments",FALSE,https://science.feedback.org/review/family-physician-daniel-stock-repeated-previously-debunked-misinformation-about-covid-19-vaccines-treatments-and-control-strategies-in-a-mount-vernon-school-board-meeting-2/
Japanese study misrepresented in posts claiming heart failure surges among Covid-vaccinatedù,Japan sounds alarm as heart failure surges among Covid-vaccinatedù,FALSE,https://science.feedback.org/review/japanese-study-misrepresented-in-posts-claiming-heart-failure-surges-among-covid-vaccinated/
VAERS reports of adverse events in people who received COVID-19 vaccines dont demonstrate that these events were caused by the vaccines; evidence does not indicate COVID-19 vaccines caused Bells palsy and deaths,"Thousands of COVID Vaccine Injuries and 13 U.S. Deaths Reported in December Aloneù; In December, 3,916 COVID vaccine-related adverse events, including 13 deaths, were reported to VAERSù",FALSE,https://science.feedback.org/review/vaers-reports-alone-dont-demonstrate-that-the-covid-19-vaccines-caused-adverse-events-evidence-does-not-indicate-vaccines-caused-bells-palsy-and-deaths/
The scientific evidence shows that COVID-19 vaccination reduces the risk of infection and mortality; analysis of cases and deaths from 145 countries is methodologically flawed,New big data study of 145 countries show COVID vaccines makes things worse (cases and deaths),FALSE,https://science.feedback.org/review/scientific-evidence-shows-covid-19-vaccination-reduces-risk-infection-mortality-analysis-cases-deaths-from-145-countries-methodologically-flawed-steve-kirsch/
"Margarine and plastic are chemically unrelated substances, contrary to persistent online claim",,FALSE,https://science.feedback.org/review/margarine-plastic-chemically-unrelated-substances-contrary-persistent-online-claim/
The presence of titanium dioxide in face masks hasnt been associated with toxicity or any health problems,Face masks contain a cancer-causing compoundù; exposure to titanium dioxide òsystematically exceeded the acceptable exposure level to TiO2 by inhalationù,FALSE,https://science.feedback.org/review/titanium-dioxide-face-masks-hasnt-been-associated-with-toxicity-health-problems/
Joe Rogan interview with Peter McCullough contains multiple false and unsubstantiated claims about the COVID-19 pandemic and vaccines,"the pandemic was planned; the COVID-19 vaccines are experimental; previously infected people have permanent immunityù; VAERS shows vaccines killed thousands of people, vaccine-induced spike protein causes damage",FALSE,https://science.feedback.org/review/joe-rogan-interview-with-peter-mccullough-contains-multiple-false-and-unsubstantiated-claims-about-the-covid-19-pandemic-and-vaccines/
"Water fluoridation hasnt been associated with cognitive or other health problems so far, contrary to widespread claims",Harvard Study Confirms: Fluoride Reduces Childrens IQù,FALSE,https://science.feedback.org/review/water-fluoridation-hasnt-been-associated-with-cognitive-health-problems-contrary-to-widespread-claims-2/
Bill Gates quoted out of context about injecting kids with genetically modified organisms in discussion on GM crops,"Bill Gates stated that 'Were taking things that are genetically modified organisms, and were injecting them into little kids arms; we just shoot them right into the vein'",Unknown,https://science.feedback.org/review/bill-gates-quoted-out-of-context-about-injecting-kids-with-genetically-modified-organisms-in-discussion-on-gm-crops/
"Six residents in a German nursing home died from COVID-19, not from vaccines",25% of residents in German nursing home died after Pfizer vaccineù; a team including a soldier in uniform used force to vaccinate residents,FALSE,https://science.feedback.org/review/six-residents-in-a-german-nursing-home-died-from-covid-19-not-from-vaccines/
Claim that the COVID-19 vaccine is riskier than the disease for children is based on an economists incorrect calculation of the metric number needed to vaccinateù,more children will die from the vaccine than will die from COVID in the first place and theres proofù,FALSE,https://science.feedback.org/review/claim-that-the-covid-19-vaccine-is-riskier-than-the-disease-for-children-is-based-on-an-economists-incorrect-calculation-of-the-metric-number-needed-to-vaccinate/
Vaccines are highly effective at reducing the risk of death from COVID-19; The Expos√© misleadingly claims the UK vaccination campaign has failed,,Unknown,https://science.feedback.org/review/vaccines-are-highly-effective-at-reducing-the-risk-of-death-from-covid-19-the-expose-misleadingly-claims-the-uk-vaccination-campaign-has-failed/
Time article on bone marrow transplant trial for multiple sclerosis treatment mostly accurate but needs more important details and context,Researchers reported encouraging results for a stem cell transplant for multiple sclerosis (MS) that some doctors and patients hope will be a breakthrough for MS treatment.,FALSE,https://science.feedback.org/review/time-article-bone-marrow-transplant-trial-for-multiple-sclerosis-treatment-mostly-accurate-needs-details-context-alice-park/
No scientific evidence for the claim that nattokinase can treat long COVID or detoxù COVID-19 vaccines,Dissolution of Spike Protein by Nattokinase: Holy Grail of COVID-19 Vaccine Detoxificationù; long COVID is caused by persistent spike protein in the body,FALSE,https://science.feedback.org/review/no-scientific-evidence-for-claim-nattokinase-treat-long-covid-detox-covid19-vaccines/
"Scientific evidence shows that COVID-19 vaccines dont increase the risk of heart attacks, contrary to Russell Brand video",COVID-19 vaccines are responsible for the rise in heart attacks in young people,FALSE,https://science.feedback.org/review/scientific-evidence-shows-covid19-vaccines-dont-increase-risk-heart-attacks-russell-brand/
"Polio vaccine plays a critical role in eradicating polio; polio is caused by a virus, not by DDT",Did vaccines get rid of polio? The answer is NO!ù,FALSE,https://science.feedback.org/review/polio-vaccine-plays-a-critical-role-in-eradicating-polio-polio-is-caused-by-a-virus-not-by-ddt/
Sodium azide in some at-home rapid COVID-19 test kits only linked to toxicity due to accidental ingestion and other non-intended uses,,FALSE,https://science.feedback.org/review/sodium-azide-home-rapid-covid19-test-kits-only-linked-toxicity-accidental-ingestion-non-intended-uses/
Vaccines dont cause mercury toxicity; the mercury compound present in some vaccines is different from the one in seafood,Doctors: don't eat fish when you're pregnant to avoid mercury getting into your baby Also doctors: vaccines containing mercury are safe to inject into your babyù,FALSE,https://science.feedback.org/review/vaccines-dont-cause-mercury-toxicity-mercury-compound-present-some-vaccines-different-from-seafood/
Most positive COVID-19 PCR test results are true positives; WHO information notice didnt change threshold or criteria for a positive COVID-19 test,WHO Admits High-Cycle PCR Tests Produce COVID False Positivesù; the WHOs new guidance includes lower PCR thresholds,FALSE,https://science.feedback.org/review/most-positive-pcr-test-results-are-true-positives-who-information-notice-didnt-change-threshold-or-criteria-for-a-positive-test/
Preclinical studies cannot provide sufficient evidence that ivermectin helps treat cancer in people,"Cancer patients should use ivermectin to treat cancer, as it augments the effect of cancer therapies",FALSE,https://science.feedback.org/review/preclinical-studies-cannot-provide-sufficient-evidence-ivermectin-helps-treat-cancer-people/
No evidence that John D. Rockefeller suppressed natural healingù or had practitioners arrested and jailed,"Rockefeller suppressed natural healing modalitiesù to profit from petroleum-based medicine, had natural medicine practitioners arrested and jailed",FALSE,https://science.feedback.org/review/no-evidence-rockefeller-suppressed-natural-healing-had-practitioners-arrested-jailed/
Global warming and the COVID-19 pandemic are unrelated issues: one will not protect us from the other,"If we want to protect ourselves from the coronavirus, we must back away from all the climate change efforts we've been making",FALSE,https://science.feedback.org/review/global-warming-and-the-covid-19-pandemic-are-unrelated-issues-one-will-not-protect-us-from-the-other-life-site-news/
"How we know Earth is round, not flat: a review of claims and misconceptions about Earths shape",Incorrect,FALSE,https://science.feedback.org/review/how-we-know-earth-is-round-not-flat-a-review-of-claims-and-misconceptions-about-earths-shape/
Edible food coating Apeel doesnt contain toxic ingredients; its ingredients are recognized as safe for use in foods,"No solvents are used in our current manufacturing process, and are therefore not present in the final products",FALSE,https://science.feedback.org/review/edible-food-coating-apeel-doesnt-contain-toxic-ingredients-recognized-safe-for-foods/
Research suggests that a particular mutation related to larger spleen size provides the Bajau people from Southeast Asia with remarkable diving skills,A unique genetic mutation in the Bajau people of South-East Asiaù allows them to dive underwater for hours each dayù,Unknown,https://science.feedback.org/review/research-suggests-particular-mutation-larger-spleen-size-provides-bajau-people-southeast-asia-remarkable-diving-skills/
Ninth Circuit Court appeal regarding mRNA vaccines misinterpreted by Infowars and social media posts,"COVID-19 mRNA vaccines arent vaccines, according to court ruling",FALSE,https://science.feedback.org/review/ninth-circuit-court-appeal-regarding-mrna-vaccines-misinterpreted-infowars-social-media/
Elon Musks claim that ventilators killed COVID-19 patients confuses correlation with causation,"Ventilators, not COVID, killed hospitalized COVID patients",FALSE,https://science.feedback.org/review/elon-musk-claim-ventilators-killed-covid-patients-confuses-correlation-causation/
Wide Awake Media repeats misleading claims that wind turbines are expensive and environmentally unfriendly,"Building a single wind turbine requires a jaw-dropping quantity of energy and resources. Wind turbines are expensive, inefficient, bird-, and bat-slaying.",Unknown,https://science.feedback.org/review/wide-awake-media-repeats-misleading-claims-that-wind-turbines-are-expensive-and-environmentally-unfriendly/
"COVID-19 vaccines start to provide protection within two weeks of the first dose, with no evidence they increase the risk of infection before then",Now a Public Health England report confirms that infections increase during the fortnight after vaccinationù,FALSE,https://science.feedback.org/review/covid-19-vaccines-start-to-provide-protection-within-two-weeks-of-the-first-dose-with-no-evidence-they-increase-the-risk-of-infection-before-then-niall-mccrae-gateway-pundit/
Tromethamine in the Pfizer-BioNTech COVID-19 vaccine for children acts to improve the stability of the vaccine; it isnt in the vaccine as a heart medication,"The Pfizer-BioNTech COVID-19 vaccine for children contains tromethamine, a heart attack medicationù with a lot of potentially serious side effectsù",FALSE,https://science.feedback.org/review/tromethamine-in-the-pfizer-biontech-covid-19-vaccine-for-children-acts-to-improve-the-stability-of-the-vaccine-it-isnt-in-the-vaccine-as-a-heart-medication/
Claims of curcumin cancer cure are premature and unsubstantiated,Science just confirmed eating turmeric every day could òreverse cancer,FALSE,https://science.feedback.org/review/claims-of-curcumin-cancer-cure-are-premature-and-unsubstantiated/
Investors Business Daily editorial misrepresents study to claim plants will prevent dangerous climate change,"Benjamin Houlton, Professor, University of California, Davis (first author of the Science study):",FALSE,https://science.feedback.org/review/investors-business-daily-editorial-misrepresents-study-to-claim-plants-will-prevent-dangerous-climate-change/
"Scientific evidence shows that unvaccinated people are more likely to develop severe COVID-19 and die, contrary to claim in viral social media posts about Germany data",More than 88% of ICU patients in Germany are vaccinated; the COVID-19 vaccines no longer protect against severe disease,FALSE,https://science.feedback.org/review/unvaccinated-people-more-likely-develop-severe-covid-19-die-contrary-germany-data/
"Are AirPods and other wireless communication devices harmful, as claimed on social media? A look at the evidence",AirPods emit dangerous levels of radiation that harm the body,FALSE,https://science.feedback.org/review/are-airpods-other-wireless-communication-devices-harmful-look-evidence/
"No, the ocean is not òcooling, contrary to viral claims ì its been warming at an accelerating rate",Questions to scientists from Science Feedback:,FALSE,https://science.feedback.org/review/no-ocean-not-cooling-contrary-viral-claims-its-been-warming-at-accelerating-rate/
"Climate change, forest management and several other causes contribute to wildfire severity and total area burned in the western United States",Forest fires are caused by poor management. Not by climate change.ù,FALSE,https://science.feedback.org/review/climate-change-forest-management-and-several-other-causes-contribute-to-wildfire-severity-and-total-area-burned-in-the-western-united-states/
"COVID-19 vaccine boosters reduce the risk of infection and hospitalization; they dont increase the risk, contrary to claims of vaccines negative efficacyù",protection against severe COVID-19 disease remains robust,FALSE,https://science.feedback.org/review/covid-19-vaccine-boosters-reduce-risk-infection-hospitalization-dont-increase-risk-contrary-claims-of-vaccines-negative-efficacy/
The U.S. sees record numbers of daily new COVID-19 cases and hospitalizations in November 2020,"There were 144,305 newly reported COVID-19 cases in the United States today. This beats the previous record of 133,819 cases reported on Monday, November 9. This is the 8th day in a row with over 100,000 cases reported.ù",Unknown,https://science.feedback.org/review/the-u-s-sees-record-numbers-of-daily-new-covid-19-cases-and-hospitalizations-in-november-2020/
Journalist Alex Berenson misrepresents German study on COVID-19 mRNA vaccination,mRNA Covid jabs change genetic structures in ways linked to cancer and autoimmune disordersù,FALSE,https://science.feedback.org/review/alex-berenson-misrepresents-german-study-covid-19-mrna-vaccination/
"The sun isnt responsible for current climate change, contrary to claims in Suspicious0bservers YouTube video",,FALSE,https://science.feedback.org/review/the-sun-isnt-responsible-for-current-climate-change-contrary-claims-suspicious0bservers-ben-davidson/
"German study showed that COVID-19 and flu caused deaths in Frankfurt during the pandemic, didnt evaluate vaccination",,FALSE,https://science.feedback.org/review/german-study-showed-covid-19-flu-caused-deaths-frankfurt-during-pandemic-didnt-evaluate-vaccination/
"Theres no doubt on CO2s role in climate change, despite Jordan Peterson and Joe Rogans claims","Whether all that additional carbon dioxide is a function of human activity, thats still debatable.",FALSE,https://science.feedback.org/review/no-doubt-on-co2s-role-despite-peterson-rogans-claims-2/
"No, study didnt find that seed oils fuel explosion of colon cancers in young peopleù",Doctors warn cooking oil used by millions may be fueling explosion of colon cancers in young peopleù,FALSE,https://science.feedback.org/review/no-study-didnt-find-seed-oils-fuel-explosion-colon-cancers-young-people/
"Acidity in bottled drinking water not a cause for health concern, contrary to popular Facebook video claim",Drinking bottled water with an acidic pH is bad for your health,FALSE,https://science.feedback.org/review/acidity-in-drinking-water-not-a-cause-for-health-concern-contrary-to-popular-facebook-video/
"Water vapor is a greenhouse gas, but it is not a major driver of global warming",Box 1. Example of a misleading claim that water vapor is driving recent global warming.,FALSE,https://science.feedback.org/review/water-vapor-greenhouse-gas-not-major-driver-global-warming/
"Study didnt show COVID-19 vaccines weaken childrens immune response, contrary to claim by Alex Berenson",A study showed a weakened immune response in kids injected with Pfizers COVID-19 shotù; The mRNA Covid jabs damage immune responses to other viruses in childrenù,FALSE,https://science.feedback.org/review/study-didnt-show-covid19-vaccines-weaken-children-immune-response-contrary-claim-alex-berenson/
"VAERS reports may initiate investigations into potential associations between a vaccine and adverse events, but on their own cannot prove causality",Post-vaccination deaths reported to VAERS are caused by the vaccine,FALSE,https://science.feedback.org/review/vaers-reports-may-initiate-investigations-into-potential-associations-between-a-vaccine-and-adverse-events-but-on-their-own-cannot-prove-causality/
Published studies misrepresented by cardiologist Peter McCullough to push false claim that COVID-19 vaccines cause sudden cardiac death,Published studies show that COVID-19 mRNA vaccines cause metabolic cardiomyopathy and sudden cardiac death,FALSE,https://science.feedback.org/review/published-studies-misrepresented-peter-mccullough-false-claim-covid-vaccines-sudden-cardiac-death/
"No, a court didnt rule that the FDA broke the law with advisory warning against using ivermectin for COVID-19","Court rules FDA broke the law with advisory warning against using ivermectin for COVID-19; FDA lost lawsuit, proving ivermectin is effective against COVID-19",FALSE,https://science.feedback.org/review/no-court-didnt-rule-fda-broke-the-law-advisory-warning-ivermectin-covid-19/
"Higher myocarditis risk after COVID-19 than mRNA vaccination; contrary to Peter McCulloughs claim, young persons decrease their risk by getting vaccinated","We have 21,000 cases of myocarditis and climbing. [¶] Under no circumstances, should a young person ever receive one of these vaccinesù",FALSE,https://science.feedback.org/review/higher-myocarditis-risk-after-covid-19-than-mrna-vaccination-contrary-peter-mcculloughs-claim/
Research showing benefits of exercise on ageing immune system correctly reported by Time,"The study authors then compared the cyclists to people in their same age group who did not exercise regularly, as well as younger adults between ages 20 and 36. Not only was T-cell activity higher in the active adults than the inactive men and women, but the cyclists were also producing the same level of T-cell activity as young adults in their 20s.",FALSE,https://science.feedback.org/review/time-article-accurately-reports-research-benefits-exercise-immune-system-ageing-alexandra-sifferlin/
Hundreds of millions of people worldwide have received at least one dose of COVID-19 vaccine; their safety and effectiveness are established; the vaccines arent experimental,The COVID-19 vaccines are experimental,FALSE,https://science.feedback.org/review/hundreds-of-millions-of-people-worldwide-have-received-at-least-one-dose-of-covid-19-vaccine-their-safety-and-effectiveness-are-established-the-vaccines-arent-experimental/
Claim that the HPV vaccine increases risk of cervical cancer misleads by cherry-picking data from FDA document,HPV vaccine increases the risk of developing cervical cancer,FALSE,https://science.feedback.org/review/claim-hpv-vaccine-increases-risk-cervical-cancer-misleads-cherry-picking-data-fda-document/
"Unvaccinated individuals now account for the vast majority of COVID-19 hospitalizations and deaths in the U.S., according to available data",99.2% of U.S. COVID deaths in June were unvaccinated peopleù,Unknown,https://science.feedback.org/review/unvaccinated-individuals-now-account-for-the-vast-majority-of-covid-19-hospitalizations-and-deaths-in-the-u-s-according-to-available-data/
Current evidence shows COVID-19 vaccination doesnt increase risk of sudden cardiac death,,FALSE,https://science.feedback.org/review/current-evidence-shows-covid19-vaccination-doesnt-increase-risk-sudden-cardiac-death/
The American Journal of Medicine didnt recommend hydroxychloroquine as a treatment for COVID-19; scientific evidence doesnt show hydroxychloroquine is effective against COVID-19,The American Journal of Medicine admit their stand on [hydroxychloroquine] was wrong; it published evidence that hydroxychloroquine is effective for preventing COVID-19,FALSE,https://science.feedback.org/review/the-american-journal-of-medicine-didnt-recommend-hydroxychloroquine-as-a-treatment-for-covid-19-scientific-evidence-doesnt-show-hydroxychloroquine-is-effective-against-covid-19/
"The benefits of mRNA COVID-19 vaccines for children outweigh the low risks, unlike what Robert Malone claimed",mRNA vaccines force your childs body to make toxic spike proteins. These proteins often cause permanent damage in childrens critical organsù; there is no benefit for your children or your family to be vaccinating your childrenù,FALSE,https://science.feedback.org/review/benefits-of-mrna-covid-19-vaccines-for-children-outweigh-the-risks-unlike-robert-malone-claim/
"Study claiming 74% of deaths due to COVID-19 vaccines contains signs of potential biases, uses flawed methodology",A review of autopsy cases found that 74% of deaths were linked to COVID-19 vaccines,Unknown,https://science.feedback.org/review/study-claiming-74-of-deaths-due-to-covid-19-vaccines-contains-signs-of-potential-biases-uses-flawed-methodology/
"Claims that vaccines contain cancer enzymesù are unfounded, also misleads with one-sided explanation of nagalase function",vaccines had cancer enzymes in them,FALSE,https://science.feedback.org/review/claims-that-vaccines-contain-cancer-enzymes-fail-to-understand-what-the-enzyme-nagalase-actually-is-disclosetv/
The human metapneumovirus (hMPV) has been circulating for decades and isnt a side effect of the Pfizer-BioNTech COVID-19 vaccine,does not necessarily have to have a causal relationship with this treatment,FALSE,https://science.feedback.org/review/human-metapneumovirus-hmpv-has-been-circulating-decades-isnt-side-effect-pfizer-biontech-covid19-vaccine/
"Unsupported claim about COVID-19 vaccines, anti-spike antibodies, and myocarditis misrepresented conclusions from a New England Journal of Medicine article",antibodies that people produce against the coronavirus spike protein may lead to myocarditisù,FALSE,https://science.feedback.org/review/unsupported-claim-covid-19-vaccines-anti-spike-antibodies-myocarditis-misrepresented-conclusions-from-new-england-journal-of-medicine-gateway-pundit/
There is no evidence that vaccines cause autism; the U.S. CDC didnt change their stance on the subject,The CDC Finally Capitulated To ICANs Legal Demands and Removed the Claim that Vaccines Do Not Cause Autismù From Its Website!ù,FALSE,https://science.feedback.org/review/there-is-no-evidence-that-vaccines-cause-autism-the-u-s-cdc-didnt-change-their-stance-on-the-subject/
South Korea study does not show COVID-19 vaccines weaken immune system,South Korea study shows COVID-19 vaccines eroded immune function across an entire countryîand likely the entire globeù,FALSE,https://science.feedback.org/review/south-korea-study-covid-vaccines-dont-weaken-immune-system/
"COVID-19 treatments can improve a patients survival and recovery, but dont replace the individual and community benefits of vaccination","Now the vaccines are no longer working; the vaccine never stopped transmission; earlier-vaccinated people experience a complete waning of the injection-induced antibodiesù; antibody therapy, the one option that worksù, is blocked by the government",FALSE,https://science.feedback.org/review/covid-19-treatments-can-improve-a-patients-survival-and-recovery-but-dont-replace-the-individual-and-community-benefits-of-vaccination/
Evidence so far doesnt indicate an association between COVID-19 vaccines and autoimmune diseases,COVID-19 vaccination is associated with a higher risk of autoimmune rheumatic diseases,FALSE,https://science.feedback.org/review/evidence-so-far-doesnt-indicate-association-between-covid19-vaccines-and-autoimmune-diseases/
